Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
24-12-2014,150.7948559,87.96614731,104.4606518,118.0694381,81.83944955,96.29911475,24.65755564,37.63529987,89.08429637,,80.96087116,185.4644062,95.02000175,138.9911978,33.17130069,93.75368902,56.03145013,83.68105118,50.68057794,43.86278782,45.94435673,26.97769145,81.0861668,97.37425626,106.327981,96.54644431,39.16864754,65.05398072,77.82436989,70.9371768
26-12-2014,150.1626302,88.16250032,106.307202,118.4202997,82.28479867,96.11240632,24.70112023,37.65282912,89.65982508,,80.46878653,185.0478237,95.19433354,139.4378387,33.2687591,94.17499348,56.09422544,84.52829618,50.96282271,43.62588867,46.20201539,27.17517296,81.36475359,97.35600771,106.6281113,96.42420982,39.3247634,64.80847565,78.25657743,70.74287907
29-12-2014,150.569061,88.14380004,106.2325939,119.0140656,81.83071722,96.17181355,24.79696232,37.56518287,90.10326523,,80.34792364,185.7484397,95.91001142,137.8660064,32.94094443,94.41701945,56.46190942,84.76017376,50.91872197,43.23409394,46.42627386,26.95193299,80.65087495,97.58411457,106.2825067,96.21735145,39.07004805,64.51921721,78.01346069,71.04820408
30-12-2014,149.7832948,88.14380004,104.9362784,118.6002288,80.85269563,95.99359187,24.70983315,37.47753662,89.34847348,,80.30475832,185.2939861,95.67145213,137.4709011,32.56883048,94.44391122,56.63229955,84.05562265,50.84816077,42.8422992,46.22587267,26.94334684,80.44193486,97.56586602,105.6822461,96.70628942,38.88928232,64.30531181,78.14852554,70.36353588
31-12-2014,148.4104619,86.99373242,102.940512,116.9358851,79.92706805,95.20432443,24.23497916,37.00424687,88.86729374,,79.81267369,183.5140428,96.31372715,137.8058817,32.15241725,93.73576117,56.12112915,83.56511239,50.08962793,42.32294338,45.87755633,26.74586533,79.3014702,96.58044439,104.5908632,95.05142243,38.43736799,63.73408715,77.32913208,70.50231997
02-01-2015,148.1756352,86.97503213,101.9612808,116.9088958,80.2326998,95.54379429,24.22190979,36.93412987,88.45215828,,80.14073011,184.0631743,94.9007221,139.1973398,32.21443624,93.69094154,56.3991341,83.17270418,50.4424339,42.60540005,45.34315318,26.90041607,78.73559079,96.20634914,104.6272426,94.75994018,38.58526722,64.41955674,77.34714073,70.31727451
05-01-2015,144.8338709,84.67489691,99.08886931,116.0992151,75.99751701,91.72475828,23.73940162,36.93412987,87.15957741,,77.94793193,178.3162298,92.90966954,137.0070817,31.85118215,93.03657504,54.64822484,82.25411222,51.1921466,42.20904956,44.6131203,26.75445148,78.36123979,95.04756629,102.88103,93.19909973,38.26481888,62.99757196,77.12203264,68.92943357
06-01-2015,143.2894339,82.87031927,99.09819532,114.7317543,75.50850622,91.68232455,23.73062875,37.21459787,86.69726746,,77.53354488,174.7090044,92.62523345,134.0523807,31.2575718,92.57941487,53.23125187,82.40572449,53.20314064,41.59402293,44.35069018,26.97769145,78.00430047,94.19900877,101.4258527,93.01104666,38.65100022,62.59163784,77.716318,69.10522676
07-01-2015,144.3280904,84.67489691,100.487771,116.5130519,76.67863919,91.60594383,23.94995064,37.67912299,87.58414777,,78.31915367,177.3126448,95.79990713,133.1762775,31.91320114,94.62318972,53.31247962,83.84158181,54.3409399,42.12249026,45.26680987,27.34689601,78.41347481,95.80488106,102.5263305,93.96071465,38.40450149,63.43024425,79.77830813,70.87241089
08-01-2015,147.787268,85.87516122,104.3487396,118.5732394,77.4645494,93.70217026,24.13418103,38.13488349,88.48989787,,79.62274629,180.143512,97.9194147,136.0708538,32.50681149,95.36719547,54.50381995,84.1537247,55.43463841,43.36165501,46.3117589,27.90499593,79.31017603,97.79397288,104.2725432,98.44578028,39.22763326,64.28100437,81.46211667,71.75137682
09-01-2015,145.9718772,84.78742169,104.4606518,118.3393316,76.53892182,91.83508599,24.37982155,37.71418149,88.92390312,,79.51051646,177.3789193,96.24032429,136.6635118,32.56883048,94.06742638,53.55616287,83.12811233,55.17885408,42.99719479,45.80121303,28.03378822,78.57017988,96.56219584,103.6995672,97.52432026,38.87842584,63.32815303,80.45363241,70.01194951
12-01-2015,145.1770792,83.92473171,101.8866727,117.7365694,75.87526432,89.85767401,24.60791632,37.37236112,89.12203596,,77.98246419,175.2202647,95.80908249,134.3701828,32.42707279,93.74472509,53.09587229,82.94974496,54.9495302,42.45961596,45.73918409,28.13682205,78.28288726,95.98736655,104.090646,96.42420982,39.14448864,63.20418513,81.0569221,70.03970632
13-01-2015,145.0686976,83.67155095,102.7912958,118.0064629,75.42118286,88.43190056,24.64739426,37.36359649,89.81078343,,77.69757309,175.0877157,95.17598283,134.687985,32.33847423,93.90607574,53.10489759,82.78921433,54.85250856,42.23638408,45.33361027,27.85347901,78.61370907,96.13335494,103.9906026,96.91314779,39.22763326,63.38892161,80.41761512,69.63260631
14-01-2015,144.3642176,81.64610491,102.3996033,117.2957432,75.15921279,88.17729816,24.49386893,37.30224412,88.90503333,,77.47311343,170.6378576,94.17586886,133.820471,32.20557639,93.22481746,51.27276058,81.6387448,55.24941528,41.87192385,44.7133209,27.88782362,78.34382812,94.68259531,103.2448243,97.15761678,39.05302955,62.12007365,77.98644771,69.38279494
15-01-2015,144.2016453,80.53023418,99.62045195,117.0798283,74.24231755,87.13342832,24.04645227,37.14448087,89.01825209,,76.79973447,168.9904633,92.6802856,132.7639936,32.06381869,91.87126482,49.63015497,81.49605091,54.57908393,41.43912734,44.28388979,27.8191344,78.23065223,95.08406339,103.2448243,98.2201166,39.16111756,61.52940305,78.67978064,69.18849721
16-01-2015,146.3150854,80.68026722,98.84639302,117.6556013,73.83729542,89.21268126,24.28331992,37.27595024,89.80134853,,78.66447622,167.7975226,95.53382177,134.9714301,32.29417495,93.26067315,50.47853369,81.59415296,55.5934011,42.13160176,44.36977601,28.16258051,79.44076359,97.21001932,105.6367718,99.45186419,39.90110471,61.97179832,78.13051689,70.34503133
20-01-2015,146.2608946,81.82426915,101.3923941,118.0514452,73.93414854,90.35839206,24.62546207,37.82812162,89.38621307,,78.63857703,166.2826773,94.73556567,134.8082345,31.97522013,90.79559385,50.27997697,80.97878554,55.22295483,42.26827434,44.66560633,28.42016508,79.38852857,96.57132011,106.8918622,99.31082439,40.05907949,62.43120879,78.0584823,70.36353588
21-01-2015,146.8028023,82.20872881,102.166453,119.122023,75.16682459,91.79265225,24.42368593,38.00341412,88.84842395,,79.311956,167.7217804,94.99247568,130.6338603,32.32075452,91.34239326,50.44243247,80.56854059,54.82604811,41.84003358,44.61789176,28.02520206,79.54836774,95.81400534,108.2560909,102.7898061,40.11728073,62.53816149,78.01346069,69.93793132
22-01-2015,149.8284538,79.11429736,104.8243662,122.027877,76.44352478,92.437645,25.00269572,38.37152837,89.77304384,,80.17526236,172.3515264,97.32301647,133.4683119,32.70172832,93.00968326,51.97673441,81.05905085,55.20531453,42.94252576,45.73441263,28.17116666,80.32868348,98.69727605,109.5475606,107.0492081,39.74312992,62.61594527,79.50817842,70.33577906
23-01-2015,148.1395081,78.8892478,105.3652749,121.1102389,75.37814048,90.68088844,24.74828233,37.95959099,89.36734328,,78.46591575,170.88402,96.68074145,133.8805958,32.28974502,91.611311,51.1554316,79.87290785,55.11711304,42.98808328,45.88232779,27.86206517,78.97847422,97.62973594,109.1201023,105.3097172,39.20268987,62.78366655,79.69726922,69.93793132
26-01-2015,148.3382076,78.11095141,105.477187,120.615434,75.7479433,92.40369802,24.53773331,37.68788762,89.6032157,,79.21699229,170.8177455,97.58910183,134.3014689,31.72271424,91.66509455,51.23665935,80.86284675,55.40817797,42.83318769,45.97298547,28.16258051,78.54009459,97.69360586,108.0014348,104.9430137,39.04471509,62.35585575,79.80532111,70.16923815
27-01-2015,147.787268,77.26701556,101.7840866,119.1849981,70.30655902,91.87751972,23.59903561,37.15324549,88.65972601,,78.51771414,167.0969067,96.48805894,131.9909614,30.28741757,91.51270783,50.72221694,79.88182622,55.17885408,38.86968277,45.09026598,27.99085745,75.83090847,96.76292988,108.374324,103.4385892,38.53753289,61.009224,78.8148455,69.32728131
